code,model,plot,zone,batch,block,contractor,unitType,typology,actual,planned,variance,band,label,color
VD4-2042,VD4,2042,1A,4,20,SARH,Villa,VD4,23.4,32.1,-8.7,lt35,<M35,#93C5FD
VD4-2152,VD4,2152,1A,4,18,SARH,Villa,VD4,35.3,26.9,8.4,ms35,M35,#3B82F6
VD4-2254,VD4,2254,1A,1,5,SARH,Villa,VD4,41.6,31.7,9.9,ms35,M35,#3B82F6
VD4-2193,VD4,2193,1A,5,25,SARH,Villa,VD4,14.3,28.8,-14.5,lt35,<M35,#93C5FD
DP2-2104,DP2,2104,1A,5,27,SARH,Duplex Villa,DP2,26.3,28.9,-2.6,lt35,<M35,#93C5FD
DP2-2002,DP2,2002,1A,3,15,SARH,Duplex Villa,DP2,46,42,4,ms35,M35,#3B82F6
DP2-2033,DP2,2033,1A,5,24,SARH,Duplex Villa,DP2,35.2,14.8,20.4,ms35,M35,#3B82F6
DP2-2117,DP2,2117,1A,5,27,SARH,Duplex Villa,DP2,17,28.9,-11.9,lt35,<M35,#93C5FD
DP2-2103,DP2,2103,1A,5,27,SARH,Duplex Villa,DP2,26,28.9,-2.9,lt35,<M35,#93C5FD
DP2-2003,DP2,2003,1A,3,15,SARH,Duplex Villa,DP2,46,42.1,3.9,ms35,M35,#3B82F6
DP2-2034,DP2,2034,1A,5,24,SARH,Duplex Villa,DP2,35.2,14.9,20.3,ms35,M35,#3B82F6
DP2-2116,DP2,2116,1A,5,27,SARH,Duplex Villa,DP2,17.1,28.9,-11.8,lt35,<M35,#93C5FD
VD2-2224,VD2,2224,1A,2,9,SARH,Villa,VD2,51.5,58.4,-6.9,ms50,M50,#FACC15
VD2-2134,VD2,2134,1A,4,21,SARH,Villa,VD2,50,55.8,-5.8,ms50,M50,#FACC15
VD2-2262,VD2,2262,1A,1,3,SARH,Villa,VD2,52.7,59.7,-7,ms50,M50,#FACC15
VD2-2161,VD2,2161,1A,4,22,SARH,Villa,VD2,51.3,56.1,-4.8,ms50,M50,#FACC15
VD2-1987,VD2,1987,1A,3,15,SARH,Villa,VD2,50.6,56.5,-5.9,ms50,M50,#FACC15
VD2-1992,VD2,1992,1A,3,15,SARH,Villa,VD2,49.7,56.5,-6.8,ms35,M35,#3B82F6
VD2-2158,VD2,2158,1A,4,22,SARH,Villa,VD2,52.2,56.1,-3.9,ms50,M50,#FACC15
VD2-2097,VD2,2097,1A,4,16,SARH,Villa,VD2,50.9,57,-6.1,ms50,M50,#FACC15
VD2-2213,VD2,2213,1A,2,9,SARH,Villa,VD2,50.7,58.4,-7.7,ms50,M50,#FACC15
VD2-2062,VD2,2062,1A,3,13,SARH,Villa,VD2,49.6,56.4,-6.8,ms35,M35,#3B82F6
VD2-2221,VD2,2221,1A,2,9,SARH,Villa,VD2,51.1,58.4,-7.3,ms50,M50,#FACC15
VD2-2066,VD2,2066,1A,3,13,SARH,Villa,VD2,49.8,56.4,-6.6,ms35,M35,#3B82F6
VD2-2123,VD2,2123,1A,4,16,SARH,Villa,VD2,51.1,57,-5.9,ms50,M50,#FACC15
VD2-2143,VD2,2143,1A,4,17,SARH,Villa,VD2,51,60.1,-9.1,ms50,M50,#FACC15
VD2-2094,VD2,2094,1A,4,16,SARH,Villa,VD2,51.1,57,-5.9,ms50,M50,#FACC15
VD2-2155,VD2,2155,1A,4,22,SARH,Villa,VD2,51.6,56.1,-4.5,ms50,M50,#FACC15
VD2-2058,VD2,2058,1A,3,14,SARH,Villa,VD2,53,57.5,-4.5,ms50,M50,#FACC15
VD2-2140,VD2,2140,1A,4,21,SARH,Villa,VD2,50,55.8,-5.8,ms50,M50,#FACC15
VD2-2195,VD2,2195,1A,2,8,SARH,Villa,VD2,53.7,61.3,-7.6,ms50,M50,#FACC15
VD2-2120,VD2,2120,1A,4,16,SARH,Villa,VD2,50.8,57,-6.2,ms50,M50,#FACC15
VD2-2259,VD2,2259,1A,1,3,SARH,Villa,VD2,52.8,59.7,-6.9,ms50,M50,#FACC15
VD2-2164,VD2,2164,1A,4,22,SARH,Villa,VD2,51.2,56.1,-4.9,ms50,M50,#FACC15
VD2-2069,VD2,2069,1A,3,13,SARH,Villa,VD2,49.8,56.4,-6.6,ms35,M35,#3B82F6
VD2-2216,VD2,2216,1A,2,9,SARH,Villa,VD2,50.7,58.4,-7.7,ms50,M50,#FACC15
VD2-2065,VD2,2065,1A,3,13,SARH,Villa,VD2,50.3,56.4,-6.1,ms50,M50,#FACC15
VD2-2125,VD2,2125,1A,4,17,SARH,Villa,VD2,51.5,60.1,-8.6,ms50,M50,#FACC15
VD2-2061,VD2,2061,1A,3,14,SARH,Villa,VD2,53.4,57.5,-4.1,ms50,M50,#FACC15
DP3-2005,DP3,2005,1A,5,28,SARH,Duplex Villa,DP3,48.9,52.1,-3.2,ms35,M35,#3B82F6
DP3-2023,DP3,2023,1A,5,26,SARH,Duplex Villa,DP3,48.4,53.2,-4.8,ms35,M35,#3B82F6
DP3-2017,DP3,2017,1A,5,26,SARH,Duplex Villa,DP3,48.6,53.2,-4.6,ms35,M35,#3B82F6
DP3-2090,DP3,2090,1A,3,12,SARH,Duplex Villa,DP3,48,53.9,-5.9,ms35,M35,#3B82F6
DP3-2086,DP3,2086,1A,3,12,SARH,Duplex Villa,DP3,47,53.9,-6.9,ms35,M35,#3B82F6
DP3-2089,DP3,2089,1A,3,12,SARH,Duplex Villa,DP3,52,58,-6,ms50,M50,#FACC15
DP3-2020,DP3,2020,1A,5,26,SARH,Duplex Villa,DP3,53,57.8,-4.8,ms50,M50,#FACC15
DP3-2026,DP3,2026,1A,5,26,SARH,Duplex Villa,DP3,51,57.8,-6.8,ms50,M50,#FACC15
DP3-2008,DP3,2008,1A,5,28,SARH,Duplex Villa,DP3,54.2,56.4,-2.2,ms50,M50,#FACC15
DP3-2093,DP3,2093,1A,3,12,SARH,Duplex Villa,DP3,53.5,58,-4.5,ms50,M50,#FACC15
DP1-2187,DP1,2187,1A,5,25,SARH,Duplex Villa,DP1,48.5,53.4,-4.9,ms35,M35,#3B82F6
DP1-2081,DP1,2081,1A,3,12,SARH,Duplex Villa,DP1,50.9,53.6,-2.7,ms50,M50,#FACC15
DP1-2073,DP1,2073,1A,3,12,SARH,Duplex Villa,DP1,48.8,53.6,-4.8,ms35,M35,#3B82F6
DP1-2108,DP1,2108,1A,5,27,SARH,Duplex Villa,DP1,49.9,56.8,-6.9,ms35,M35,#3B82F6
DP1-2244,DP1,2244,1A,2,6,SARH,Duplex Villa,DP1,49.9,55.3,-5.4,ms35,M35,#3B82F6
DP1-2175,DP1,2175,1A,5,25,SARH,Duplex Villa,DP1,48.7,53.4,-4.7,ms35,M35,#3B82F6
DP1-2077,DP1,2077,1A,3,12,SARH,Duplex Villa,DP1,49.1,53.6,-4.5,ms35,M35,#3B82F6
DP1-2232,DP1,2232,1A,2,6,SARH,Duplex Villa,DP1,50.1,55.3,-5.2,ms50,M50,#FACC15
DP1-2266,DP1,2266,1A,1,1,SARH,Duplex Villa,DP1,55.1,66.5,-11.4,ms50,M50,#FACC15
DP1-2030,DP1,2030,1A,5,24,SARH,Duplex Villa,DP1,49.6,51.8,-2.2,ms35,M35,#3B82F6
DP1-2111,DP1,2111,1A,5,27,SARH,Duplex Villa,DP1,49.9,56.8,-6.9,ms35,M35,#3B82F6
DP1-2269,DP1,2269,1A,1,1,SARH,Duplex Villa,DP1,59.1,66.5,-7.4,ms50,M50,#FACC15
DP1-2027,DP1,2027,1A,5,24,SARH,Duplex Villa,DP1,49.1,51.8,-2.7,ms35,M35,#3B82F6
DP1-2247,DP1,2247,1A,2,6,SARH,Duplex Villa,DP1,49.9,55.3,-5.4,ms35,M35,#3B82F6
DP1-2078,DP1,2078,1A,3,12,SARH,Duplex Villa,DP1,50.1,53.6,-3.5,ms50,M50,#FACC15
DP1-2190,DP1,2190,1A,5,25,SARH,Duplex Villa,DP1,48.6,53.4,-4.8,ms35,M35,#3B82F6
DP1-2070,DP1,2070,1A,3,12,SARH,Duplex Villa,DP1,51.4,53.6,-2.2,ms50,M50,#FACC15
DP1-2074,DP1,2074,1A,3,12,SARH,Duplex Villa,DP1,48.7,53.6,-4.9,ms35,M35,#3B82F6
DP1-2178,DP1,2178,1A,5,25,SARH,Duplex Villa,DP1,50.1,53.4,-3.3,ms50,M50,#FACC15
DP1-2082,DP1,2082,1A,3,12,SARH,Duplex Villa,DP1,51.9,53.6,-1.7,ms50,M50,#FACC15
DP1-2235,DP1,2235,1A,2,6,SARH,Duplex Villa,DP1,49.8,55.3,-5.5,ms35,M35,#3B82F6
VD1-2201,VD1,2201,1A,2,8,SARH,Villa,VD1,48.1,62,-13.9,ms35,M35,#3B82F6
VD1-2198,VD1,2198,1A,2,8,SARH,Villa,VD1,47.7,62,-14.3,ms35,M35,#3B82F6
DP1-2085,DP1,2085,1A,3,12,SARH,Duplex Villa,DP1,49.4,53.6,-4.2,ms35,M35,#3B82F6
TH1-2245,TH1,2245,1A,2,6,SARH,Townhouse,TH1,50.7,55.8,-5.1,ms50,M50,#FACC15
TH1-2079,TH1,2079,1A,3,12,SARH,Townhouse,TH1,51.1,54.4,-3.3,ms50,M50,#FACC15
TH1-2268,TH1,2268,1A,1,1,SARH,Townhouse,TH1,61.3,66.4,-5.1,ms50,M50,#FACC15
TH1-2233,TH1,2233,1A,2,6,SARH,Townhouse,TH1,50.6,55.8,-5.2,ms50,M50,#FACC15
TH1-2028,TH1,2028,1A,5,24,SARH,Townhouse,TH1,50.9,52.3,-1.4,ms50,M50,#FACC15
TH1-2083,TH1,2083,1A,3,12,SARH,Townhouse,TH1,51.2,54.4,-3.2,ms50,M50,#FACC15
TH1-2246,TH1,2246,1A,2,6,SARH,Townhouse,TH1,50.9,55.8,-4.9,ms50,M50,#FACC15
TH1-2267,TH1,2267,1A,1,1,SARH,Townhouse,TH1,59.8,66.4,-6.6,ms50,M50,#FACC15
TH1-2080,TH1,2080,1A,3,12,SARH,Townhouse,TH1,50.7,54.4,-3.7,ms50,M50,#FACC15
TH1-2029,TH1,2029,1A,5,24,SARH,Townhouse,TH1,50.5,52.3,-1.8,ms50,M50,#FACC15
TH3-2092,TH3,2092,1A,3,12,SARH,Townhouse,TH3,45.7,52.8,-7.1,ms35,M35,#3B82F6
TH3-2025,TH3,2025,1A,5,26,SARH,Townhouse,TH3,46.3,51.9,-5.6,ms35,M35,#3B82F6
TH3-2019,TH3,2019,1A,5,26,SARH,Townhouse,TH3,46.3,51.9,-5.6,ms35,M35,#3B82F6
TH3-2075,TH3,2075,1A,3,12,SARH,Townhouse,TH3,47.8,52.8,-5,ms35,M35,#3B82F6
TH3-2072,TH3,2072,1A,3,12,SARH,Townhouse,TH3,49.2,52.8,-3.6,ms35,M35,#3B82F6
TH3-2007,TH3,2007,1A,5,28,SARH,Townhouse,TH3,48.9,50.8,-1.9,ms35,M35,#3B82F6
TH3-2091,TH3,2091,1A,3,12,SARH,Townhouse,TH3,46.8,52.8,-6,ms35,M35,#3B82F6
TH3-2109,TH3,2109,1A,5,27,SARH,Townhouse,TH3,49.7,55.8,-6.1,ms35,M35,#3B82F6
TH3-2024,TH3,2024,1A,5,26,SARH,Townhouse,TH3,47.2,51.9,-4.7,ms35,M35,#3B82F6
TH3-2110,TH3,2110,1A,5,27,SARH,Townhouse,TH3,49.8,55.8,-6,ms35,M35,#3B82F6
